Store, Date, Flavor, Is Season Flavor, Quantity, Listed By,
Store A,2023-09-14, Chocolate, No,50, John,
Store A,2023-09-14, Vanilla, No,75, Mary,
Store A,2023-09-14, Strawberry, Yes,60, Sarah,
Store A,2023-09-14, Mint, No,40, David,
Store A,2023-09-14, Pistachio, Yes,30, David,
Store A,2023-09-14, Raspberry, Yes,35, David,
,,,,,,
Store B,2023-09-14, Chocolate, No,45, Emily,
Store B,2023-09-14, Vanilla, No,70, Emily,
Store B,2023-09-14, Mint, No,55, Michael,
Store B,2023-09-14, Strawberry, Yes,50, Linda,
Store B,2023-09-14, Pistachio, Yes,45, Linda,
Store B,2023-09-14, Lemon, Yes,30, Linda,
,,,,,,
Store C,2023-09-14, Chocolate, No,60, James,
Store C,2023-09-14, Pistachio, Yes,40, James,
Store C,2023-09-14, Raspberry, Yes,30, James,
Store C,2023-09-14, Mint, No,35, James,
Store C,2023-09-14, Lemon, Yes,25, James,
Store C,2023-09-14, Blueberry, Yes,20, James,
,,,,,,
Store D,2023-09-14, Chocolate, No,55, Emily,
Store D,2023-09-14, Vanilla, No,65, Emily,
Store D,2023-09-14, Strawberry, Yes,70, Emily,
Store D,2023-09-14, Mint, No,30, Sarah,
Store D,2023-09-14, Pistachio, Yes,25, Sarah,
Store D,2023-09-14, Raspberry, Yes,20, Sarah,
,,,,,,
Store E,2023-09-14, Chocolate, No,45, Michael,
Store E,2023-09-14, Vanilla, No,60, Michael,
Store E,2023-09-14, Mint, No,50, David,
Store E,2023-09-14, Lemon, Yes,40, James,
Store E,2023-09-14, Blueberry, Yes,35, James,
Store E,2023-09-14, Caramel, Yes,25, James,
,,,,,,
Store F,2023-09-14, Chocolate, No,65, Sarah,
Store F,2023-09-14, Vanilla, No,80, Sarah,
Store F,2023-09-14, Strawberry, Yes,75, Sarah,
Store F,2023-09-14, Pistachio, Yes,35, Linda,
Store F,2023-09-14, Lemon, Yes,30, Linda,
Store F,2023-09-14, Caramel, Yes,20, Linda,
